店舗名称,エリア,券種,place_name,formatted_address,lat,lng,category,display_category,phone,official_url,google_maps_url,google_summary,raw_description,description,instagram_url,tiktok_url,x_url,facebook_url,youtube_url,line_url,tabelog_url,hotpepper_url,jalan_url
かめ屋質店,吉原町,both,かめ屋質店,〒820-0040 福岡県飯塚市吉原町７−２１ 扶桑ビル,33.6404379,130.686858,質屋,サービス,0120-930-478,http://kameya78.net/,https://www.google.com/maps/place/?q=place_id:ChIJty34XDp-QTUReUt72dJvjYk,,貴金属買取、質流れ品、質屋、宝石買取を扱う。住所は福岡県飯塚市吉原町7-21 扶桑ビル。営業時間は9:00～19:00、年中営業。,貴金属・宝石買取、質流れ品販売の質屋。住所:福岡県飯塚市吉原町7-21。営業時間:9:00～19:00（年中）。TEL:0948-22-2696。,,,,,,,,,
フジイ進物店,飯塚,both,（株）フジイ進物店,〒820-0041 福岡県飯塚市飯塚１１−２６,33.6367052,130.6861046,贈答品・ギフト,ショッピング,0948-22-0701,https://giftplaza-fujii.amebaownd.com/,https://www.google.com/maps/place/?q=place_id:ChIJCYP7zTl-QTURI8OQZI1ijs0,昔から有る商店街の中にある古い進物店だが。殆んどの店が閉店をしていて電気節約からか店内は薄暗く当然のように活気が薄い。商品は其れなりに揃えてあり簡単な進物なら揃えられる。 / 身内の不幸の後に葬儀等でご来席頂いた皆様への御礼を探しにフジイさんへお伺い致しましたが最高の接客でご対応頂き感謝しかありません。あたたかいご対応に癒されました。本当にありがとうございました。,福岡県飯塚市飯塚11-26にある贈答品店。電話番号0948-22-0701。飯塚駅から徒歩約14分。Wi-Fiなし。,1924年創業のギフト店。贈答用食料品、陶磁器、金物、カタログギフト等取扱い。営業時間10:00～17:45（正月1・2日休）。,,,,,,,,,
もりまさ薬局,上三緒,both,もりまさ薬局,〒820-0013 福岡県飯塚市上三緒１７７−２２,33.6224288,130.7165619,健康・医療,美容・健康,0948-21-1212,,https://www.google.com/maps/place/?q=place_id:ChIJG3F1D-B9QTURMiVrdjxQ0mY,,福岡県飯塚市上三緒の調剤薬局。上三緒駅徒歩6分。平日9-19時、土9-18時、祝10-18時、日曜休み。年末年始休み。電話0948-21-1212。大和生物研究所・日邦薬品の製品取扱店。,福岡県飯塚市上三緒の調剤薬局。上三緒駅徒歩6分。,,,,,,,,,
げんき屋,川津,both,焼鳥 げんき屋,〒820-0067 福岡県飯塚市川津２８３−１,33.6511351,130.6785974,飲食店,グルメ・飲食,080-3372-0209,https://y-genkiya.com/,https://www.google.com/maps/place/?q=place_id:ChIJL2yFFy1-QTURmUVCNy5CBi8,飯塚に来た時にたまにテイクアウトしてます♪ 私はねぎまと豚しそ巻きと手羽先が好きで特にねきまが一番好きで柔らかくネギも美味しいのではずせません 胡椒少なめで注文⭐︎ 手羽先の塩が多くかかってたか / 2023年6月9日に初来店 テイクアウト専門でクチコミで美味しいと評価が高く親友二人で34本電話で注文 15時から開店という事で15:30にお店に訪れました 元気で愛嬌の良いおばちゃんがこれまたいい感,福岡県飯塚市の焼き鳥専門店。テイクアウト専門で、月～木曜15時～19時、金～日曜15時～20時営業。閉店30分前でオーダーストップ。ネタ切れで早期閉店の場合あり。電話予約可。駐車場なし。,飯塚市川津のお持ち帰り専門焼鳥店。1本110円(税込)～、豚足塩焼きも。月～木15-19時、金土日15-20時(売り切れ次第終了)。定休水曜。,,,,,,,https://tabelog.com/fukuoka/A4007/A400702/40031495/,,
マックハウスゆめタウン飯塚店,菰田西,both,マックハウス ゆめタウン飯塚店,〒820-0017 福岡県飯塚市菰田西３丁目６−１ ゆめタウン飯塚 2F,33.6303356,130.6853387,衣料品店,ショッピング,080-5909-3383,https://www.mac-house.co.jp/store/info.php?code=11096,https://www.google.com/maps/place/?q=place_id:ChIJve8VJyR_QTURR0gviY9FwKI,まだまだ猛暑の為に肌にべとつかず、 皺にならず、気軽に着れるものを探していて、たまたま通ったマックハウスの店頭に並んだ冷感のワイドパンツとシャツが目に止まり、触ってみるとひんやりしてサラサラでいい感じ / 通路も広く、みやすい店内でした。,マックハウスはカジュアル衣料品を扱うチェーン店。ゆめタウン飯塚の2階に位置し、手頃な価格の衣類やアクセサリーを販売しています。,マックハウスはカジュアル衣料品を扱うチェーン店。ゆめタウン飯塚の2階に位置し、手頃な価格の衣類やアクセサリーを販売しています。,,,,,,,,,
セブンイレブン飯塚鶴三緒店,鶴三緒,both,セブン-イレブン 飯塚鶴三緒店,〒820-0014 福岡県飯塚市鶴三緒１５４８−２,33.6245528,130.6996706,コンビニ,コンビニ・スーパー,0948-24-0170,http://www.sej.co.jp/,https://www.google.com/maps/place/?q=place_id:ChIJFx9x5mt-QTURRf06dAETUso,"Pit stop for snacks, drinks & daily essentials / 深夜ですがお金を下ろすためにファミマを利用して、たまにはセブンにも行きたくなったので久しぶりに寄ってみました。結論から言ってもう行くことはないです。店員が掃除していたのですが会計のためにレジに誰もいな / 駐車場★★★★★ 品揃え★★★★ 接客★★★ 総合★★★★ 国道沿いで駐車場も大きく利用しやすいセブンイレブンです。 店鋪サイズと接客はスタンダードですが、氷点下のエクストラコールドコカコーラをおい",福岡県飯塚市鶴三緒1548-2にある24時間営業のセブンイレブン。電話0948-24-0170。ATM、PayPay、LINE Pay、楽天ペイ、d払い対応。最寄り駅は飯塚駅(徒歩約13分)。口コミあり。,福岡県飯塚市鶴三緒1548-2にある24時間営業のセブンイレブン。電話0948-24-0170。,,,,,,,https://tabelog.com/fukuoka/A4007/A400702/40066670/dtlrvwlst/,,
佐藤眼鏡店(メガネのサトー),本町,both,メガネのサトー本町店,〒820-0042 福岡県飯塚市本町７−２０ 商店街,33.6399219,130.684705,健康・医療,美容・健康,0948-22-4001,https://meganenosatou.co.jp/,https://www.google.com/maps/place/?q=place_id:ChIJH6RUpTB-QTURyhdJ4fbWXYw,飯塚市内本町商店街で営業されている。「メガネのサトー本町店」 幼い頃、母に連れられて通っていたお店で とても 懐かしく思い出の 場所でもあり。店内は、随分と変わりましたが私にとっては、特別 現在も営業 / 品揃えの関係でイオン穂波店の方で購入した為本町店では購入してはないのですが丁寧に対応していただきました。,,飯塚市内本町商店街で営業されている。「メガネのサトー本町店」 幼い頃、母に連れられて通っていたお店で とても 懐かしく思い出の 場所でもあり。,,,,,,,,,
やきとりの炭活,吉原町,both,やきとりの炭活,〒820-0040 福岡県飯塚市吉原町８−４７,33.6400415,130.6870729,飲食店,グルメ・飲食,0948-21-6070,https://www.hotpepper.jp/strJ001127641/,https://www.google.com/maps/place/?q=place_id:ChIJ0xqORDp-QTURwV4eEr1gnvI,誕生日月で予約して行くと、手羽か鶏皮を年齢の本数プレゼントしてくれる。焼き鳥も大きくて肉厚で美味しくて満足😆 / パート先のプチ歓迎会で行きました。 飯塚での居酒屋は初めてでどんな感じかな？店員さんのガラ悪くないかな？と心配でしたがすごく感じが良くて料理も美味しくて最高でした！ 今度は家族とも行きます！,"飯塚市吉原町の焼き鳥・居酒屋。16:00-23:00営業（火曜定休）、71席、全席禁煙、予約可（TEL:0948-21-6070）。予算2,000-4,999円。新飯塚駅徒歩12分。YouTubeレビューで美味しく面白い店と評判。",飯塚市の焼き鳥屋。火曜定休、16:00～24:00営業。新飯塚駅徒歩12分。電話0948-21-6070。美味しい居酒屋として紹介。,,,,,,,https://tabelog.com/fukuoka/A4007/A400702/40040546/,,
Cut in Murashi,飯塚,both,カットインムラシ美容室,〒820-0041 福岡県飯塚市飯塚４−１９ アークスビル,33.6373578,130.6865328,美容室,美容・健康,0948-24-8029,,https://www.google.com/maps/place/?q=place_id:ChIJvbClwTl-QTURHMTfdvTI05M,カットも技術最高,福岡県飯塚市飯塚4-19にある美容室。電話番号0948-24-8029。サロン番号44482735あり。Pocketbookアプリ予約不可。口コミサイトに掲載,福岡県飯塚市飯塚4-19にある美容室。TEL:0948-24-8029。口コミあり。,,,,,,,,,
居酒屋落花生,上三緒,both,落花生,〒820-0013 福岡県飯塚市上三緒４４５−１７,33.6256907,130.7154942,飲食店,グルメ・飲食,,,https://www.google.com/maps/place/?q=place_id:ChIJ7xX6cAB_QTUR7_ArxLrh5SY,,,,,,,,,,https://s.tabelog.com/fukuoka/C40205/rstLst/?sk=%E8%90%BD%E8%8A%B1%E7%94%9F&srchTg=2&sw=%E8%90%BD%E8%8A%B1%E7%94%9F,,
aruk cafe,川津,both,aruk cafe（アルクカフェ),〒820-0067 福岡県飯塚市川津２７１−２,33.6505855,130.6790493,カフェ,グルメ・飲食,0948-24-0018,http://www.arukurashi.com/,https://www.google.com/maps/place/?q=place_id:ChIJw2d7EC1-QTURmiCXfDaHYaw,何度もランチで利用させていただいてます。 雰囲気も良くて、どのメニューも美味しいです。 今回は焼きカレーとパンケーキを注文しました。 写真には撮ってないですが、ダージリンティーも美味しかったです。 ま / 昔から大好きなカフェです！ 久しぶりに娘と行ったら20周年とのことでした。新メニューのスフレパンケーキ美味しかったです(^o^),"飯塚市川津のナチュラルカフェ。きまぐれプレートランチ、焼きカレー、季節ケーキが人気。広めテーブル・ソファ席でゆったり。月水木金土日11-19時、火休。予算1,000-1,999円。隣に雑貨屋、ホットスイートポテト絶品。",雑貨屋が隣接する雰囲気の良いカフェ。日替わりのToday's Caféで新しい味に出会え、定番のホットスイートポテトとバニラアイスの組み合わせが絶品です。,,,,,,,https://tabelog.com/fukuoka/A4007/A400702/40011681/,,
マルイチ商会,菰田西,both,マルイチ商会,〒820-0017 福岡県飯塚市菰田西３丁目４−１,33.6314038,130.6866424,内装・建材,住まい・暮らし,0948-22-7753,https://www.maruichi.info/shop,https://www.google.com/maps/place/?q=place_id:ChIJg9u57kd-QTUR1rkL-26s2f0,昔から我が家では何か必要なものがあるとこちらのマルイチさんへ行きます。見つけものもあるし中古でも品が良いので家庭用、食堂用、事務所用何でもかんでも相談してます。 / クレジットカード使えると表示されているのに、使えないと言われた 使えないならクレジットカード表示消して下さい TELでケーブルあると言われ言ったらケーブルなかった 詳しくない人があると言ったみたい 詳,業務用品を中心に厨房機器・事務用品・OA機器・店舗什器等の販売、設計、施工、機器のリース、レンタル及び保守を行う総合サービス企業。リサイクル事業も展開。九州最大規模のショールームを有し、家電・家具・アンティーク・楽器・パソコン・AV機器・絵画・美術品等を常時展示販売。1942年設立。,1942年創業。厨房機器・事務用品・OA機器・店舗什器等の販売・設計・施工・リサイクル。飯塚本店TEL:0948-22-7753。,,,,,,,,,
寿司海鮮和食処 やますい,鶴三緒,both,寿司海鮮和食処 やますい,〒820-0014 福岡県飯塚市鶴三緒１０９９−３,33.6274483,130.7010966,飲食店,グルメ・飲食,0948-24-1551,https://www.instagram.com/yama__sui111/,https://www.google.com/maps/place/?q=place_id:ChIJ8adPTDF5QTURe6AZiX8P5ZI,今日はお腹も減ったので、オープンと同時に入店！！ 食べる物は決まってる。(笑) やますい定食 ¥1500 ご飯は大、中、小盛り 選択可。。 私は中で… 単品の納豆巻き 安定の味！ 塩サバの皮もパ / お刺身定食美味しかったです。週末の13時30分ごろとランチタイムが終わる頃に着いてしまいました。それでもにこやかに迎えてくれたので嬉しかった。このお店はもっと話題になっていいお店だと思いました。 昼,カホテラス内に移転リニューアルオープン。新鮮な寿司・海鮮・和食を提供。寿司定食1980円、天ぷら定食1650円など。予約可、クレカ・PayPay対応、駐車場400台。水曜定休。美味しさが高評価。,カホテラス内。寿司・海鮮・和食。11:00-15:00(LO14:00)、17:00-22:00(LO21:00)。水曜定休。新鮮魚介の定食・寿司が人気。,https://www.instagram.com/yama__sui111/,,,,,,https://tabelog.com/fukuoka/A4007/A400702/40062406/,,
しまづ者,本町,both,海鮮居酒屋 しまづ者,〒820-0042 福岡県飯塚市本町８−７,33.6395675,130.6859262,飲食店,グルメ・飲食,0948-21-0197,,https://www.google.com/maps/place/?q=place_id:ChIJn-DBcLd_QTURdi3pSzRCSwo,2025.9.25 🅿は近くの有料🅿利用☆ お昼より前に到着☆ 店内はテーブル席、カウンター☆ あとはお座敷も有り戸を閉めれるので個室として...仕切りを隔てて隣にお客さん居たので完全個室ではなかった / 「しまづ者」というお店に行こうとしていたら、間違えて、こちらの「慶」というお店に入店。 同じ経営者なのか、お店の方に「移られますか？」と快く言われました。 せっかく入店したので、マグロ頬カツを頂きま,飯塚市本町の海鮮居酒屋。新鮮な魚料理・寿司がリーズナブル。ランチ11:00-14:00、ディナー17:00-23:00（日曜定休）。カウンター・テーブル・座敷あり。新飯塚駅徒歩13分。予約可、電話0948-21-0197。,新鮮な魚料理・寿司がリーズナブル。月土11:00-14:00、17:00-23:00、日曜定休。居酒屋・海鮮。,,,,,,,https://tabelog.com/fukuoka/A4007/A400702/40039325/,https://www.hotpepper.jp/strJ002647135/,
ファミリーショップそうあい,吉原町,both,（有）ソウアイ,〒820-0040 福岡県飯塚市吉原町７−２１,33.6403609,130.6868951,宝飾店,ショッピング,0948-25-6661,,https://www.google.com/maps/place/?q=place_id:ChIJty34XDp-QTURqlHEfctOx1Q,,有限会社ソウアイが運営する宝飾店。化粧品・ジュエリー・ファッション小物を扱う。新飯塚駅から徒歩約12分。電話0948-25-6661。口コミやSNS情報なし。,有限会社ソウアイが運営する宝飾店。化粧品・ジュエリー・ファッション小物を扱う。,,,,,,,,,
元野木書店,飯塚,both,（株）元野木書店,〒820-0041 福岡県飯塚市飯塚１８−３,33.6369614,130.6846128,書店,ショッピング,0948-22-0048,https://www.instagram.com/books_motonoki?igsh=MWU0aW85dmRwdzJpcQ%3D%3D&utm_source=qr,https://www.google.com/maps/place/?q=place_id:ChIJd3GinTd-QTUR8-6KpITFEBY,深夜にウォーキングをしているのですが、 真っ暗な中、明かりがついていたので、何だろうと近づいたら、まさかの本屋さんでした。 無人販売をされているようですね。 面白い取り組みだと思いました。 / 二階にくつろげるスペースができてました。,明治10年創業の148年続く老舗書店。2025年3月から九州初の24時間無人書店として営業開始。メディア露出が増え、新規顧客獲得。住所は飯塚市飯塚18-3、電話0948-22-0351。,創業148年の老舗書店。福岡県飯塚市東町商店街にあり、現在24時間営業の無人書店として新たな購買層を獲得中。,,,,,,,,,
おしゃれハウスアモ,柏の森,both,おしゃれハウス アモ,〒820-0011 福岡県飯塚市柏の森５１６−１,33.640041,130.698712,美容室,美容・健康,0948-22-5306,https://www.instagram.com/osharehouseamo/,https://www.google.com/maps/place/?q=place_id:ChIJ81aGsBl-QTURCVqid5gKVKo,化粧品を試したいので話しをしたのですがサンプルは頂きましたがまた行こうって感じにはならなかったです。 / 子連れでも安心の化粧品店さんです(^^),福岡県飯塚市柏の森516-1に所在する美容室。新飯塚駅近く。電話0948-22-5306。周辺に他の美容室あり。ホットペッパービューティーには掲載なし。,化粧品店。アルビオン・イグニス・エレガンス取扱。営業時間10:00〜18:00(季節変動あり)。定休日日曜・祝日(第2日曜18:00まで、翌日翌々日休)。新飯塚駅近く。電話0948-22-5306。,,,,,,,,,
小林硝子店,川津,both,（株）小林硝子店,〒820-0067 福岡県飯塚市川津３５７−５,33.6468372,130.6756212,建設・工事,住まい・暮らし,0948-22-0172,https://www.kobayasi-garasu.co.jp/,https://www.google.com/maps/place/?q=place_id:ChIJ5SxfsTJ-QTUR290tEj7jvBk,たわいない仕事を依頼したのですが 見積もりに来てもらったはずが その場でこなしてくださり 養生も完璧で 感じの良い社員さんお一人で見えてお茶も出すももないくらいあっという間で 請求は後日電話くださると / 破損しかけたガラスの入れ替えを相談に伺いました、丁寧な対応をしていただき、少し先が見えてきました。 発注が決まったら再度打ち合わせを行いたいのでその際はよろしくお願いします。,福岡県飯塚市の窓ガラス・サッシ専門店。一級ガラス施工技能士が在籍し、防犯・防音・結露対策の二重窓（インプラス）、窓のリフォーム、ガラス入替などを提供。アルミ建材の販売・施工も行っており、お客様のご予算やご要望に応じた提案を実施。,福岡県飯塚市のガラス工事・サッシ専門店。防犯・防音・結露対策などのガラス工事や二重窓、ポイントリフォームを提供。営業時間8:00～18:00。,https://www.instagram.com/kobayasi_garasu,,,,,,,,
まるまんフィオーレ,菰田西,both,まるまんフィオーレゆめタウン飯塚店,〒822-0017 福岡県飯塚市菰田西３丁目６−１ ゆめタウン飯塚 1階,33.6326269,130.6852821,花屋,住まい・暮らし,0948-52-3426,https://www.maruman-fiore.co.jp/,https://www.google.com/maps/place/?q=place_id:ChIJbTXhrZh_QTURhO3UqW1uGws,店員さんはとても優しく、丁寧にお化粧について教えて下さって、お化粧が全くわからない人間にもわかりやすいように説明してくれました。ありがとうございます😊,ゆめタウン飯塚店にある花屋。LINE公式アカウントでコスメデコルテ AQ ボディケアの新商品（2025年10月16日発売）を宣伝。身体ケア製品をフェイス・ヘアケアに比べて推奨。,ゆめタウン飯塚店にある花屋。LINE公式アカウントでコスメデコルテ AQ ボディケアの新商品（2025年10月16日発売）を宣伝。,,,,,,https://page.line.me/608qldkb,,,
スーパーセンタートライアル飯塚店,徳前,both,スーパーセンタートライアル飯塚店,〒820-0033 福岡県飯塚市徳前４０−１,33.632029,130.683112,ドラッグストア,コンビニ・スーパー,0120-033-559,https://www.trial-net.co.jp/shops/49/?y_source=1_MTQ4NDU4MjctNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,https://www.google.com/maps/place/?q=place_id:ChIJUZ1s4Uh-QTUR-JUYBSne7f0,定価以上の値段で驚きました。(写真は'25/10/22撮影) また、このご時世値上げは仕方ないことだと思っていますが、価格表示改定前は税込み¥699だったものが改定後税抜き¥699にされるなど、改定 / 2月22日☺午後2時22分くらいに 大好きな❤️TRIAL❤️買い物に来たぁ～。 その40分後に…まさかの事態😧 トランクにキズ凹みが😨💦 よく見るとバンパーにも凹みがぁ～。 😱ガアァーン最悪です。当,スーパーセンタートライアル飯塚店は、株式会社トライアルカンパニーが運営する大型ディスカウントスーパー。食料品、日用品、家電、衣類などを低価格で提供。ドラッグストアカテゴリだが総合スーパー。24時間営業で、地元飯塚市に人気の大型店舗。,スーパーセンタートライアル飯塚店は、株式会社トライアルカンパニーが運営する大型ディスカウントスーパー。食料品、日用品、家電、衣類などを低価格で提供。,,,,,,,,,
ＲＲＲエンターテイメント,本町,both,本町商店街,〒820-0042 福岡県飯塚市本町１０,33.6382869,130.6849324,カラオケ,エンタメ・レジャー,0948-22-6965,,https://www.google.com/maps/place/?q=place_id:ChIJ_X1nXDd-QTURif3Ri0-FimE,シャッターが目立つ商店街ではありますが、 長崎街道 飯塚宿としての歴史を感じることができる商店街です！ お惣菜、野菜、鮮魚屋さん等が揃っており、たまに買い物に行きます！ 最近では、東町にソフトクリーム / 飯塚市の代表的な商店街。かつては筑豊一円からの買い物客で賑わった。古くは長崎街道の宿場町、明治以降は炭鉱で賑わった頃の飯塚に思いを馳せるのも良い。,就労継続支援B型事業所。ドリンクテイクアウト専門店（クリームソーダ4色、ホットチョコ）。レンタルスタジオ・映像制作・動画編集。障害者就労支援。住所本町14-2または10付近。営業10-16時または8:30-17時、不定休。,福岡県飯塚市本町14-2の就労継続支援B型事業所。障害者就労支援を実施。営業時間8:30～17:00（不定休）。テイクアウトドリンク専門店でクリームソーダ4色が特徴。,https://www.instagram.com/RRRetm,,https://twitter.com/RRRetment,,https://www.youtube.com/@RRRエンターテイメント,,,,
鳥一,吉原町,both,とり料理 鳥一（とりいち）,〒820-0040 福岡県飯塚市吉原町８−２３,33.6390197,130.6879247,飲食店,グルメ・飲食,0948-23-3360,http://toriichi.exblog.jp/,https://www.google.com/maps/place/?q=place_id:ChIJ8YfANDp-QTURFEh2Hse-zwA,砂肝刺キモ刺とキモ煮モモ揚げとりめしを注文しましたが、全てとても美味しかったです。どれも安くて値段気にせず注文できる。モモ揚げはとても大きくてこれだけでお腹いっぱいになりますが、締めとして食べても結局 / 出張で1カ月ぶりに来ました。前回は時間が少し遅くて、ご飯類が無かったので今回リベンジ❗️とり飯あったよ😅モツ煮、ささみ刺身、酢モツ、全部美味い😋し、とってもヘルシーな感じ。たっぷり食べてから、近くのチ,福岡県飯塚市の鶏料理店。住所:吉原町8-23、電話:0948-23-3360。水曜定休。新飯塚駅西口徒歩13分。昼定食にから揚げ・肝煮・とりめし700円が人気のグルメ店。,福岡県飯塚市の鶏料理専門居酒屋。電話番号0948-23-3360。毎週水曜日定休。新飯塚駅から徒歩13分。,,,,,,,,,
矢野鮮魚店,飯塚,both,矢野鮮魚店,〒820-0041 福岡県飯塚市飯塚１２−２４,33.6370761,130.6850659,飲食店,グルメ・飲食,0948-22-0043,,https://www.google.com/maps/place/?q=place_id:ChIJ6989eTd-QTURfIdmhNrRbn4,"職場の飲み会等で、刺し盛りをお願いしてますが、上司や同僚の評判もすこぶる良く、刺身の鮮度と量は半端ないです。このご時世に配達もしてくれるので、大変ありがたい。オードブルも作ってくれますが、お値段以上の / 大将さんの感じがとても良くて 魚の鮮度も1級品でした。 また買いに行かせていただきますねヾ(๑╹◡╹)ﾉ""",,職場の飲み会等で、刺し盛りをお願いしてますが、上司や同僚の評判もすこぶる良く、刺身の鮮度と量は半端ないです。このご時世に配達もしてくれるので、大変ありがたい。,,,,,,,,,
麻生塾スポーツガーデン,柏の森,digital,麻生塾スポーツガーデン,〒820-0011 福岡県飯塚市柏の森１１−４,33.6436111,130.7097222,スポーツ施設,エンタメ・レジャー,0948-22-0543,https://www.aso-group.co.jp/asg/,https://www.google.com/maps/place/?q=place_id:ChIJ2eNczfjVQzUR_OxX8FEO0jI,1時間900円、2時間1300円で打ち放題。2階は100円引き💰️ 奥は300ydが網の真ん中くらいで左右も広いです。 ボールはややボロいけど、練習には充分です。 1時間打ちまくって疲れました🗿 / 久々に練習しに行きました。非会員なので2時間1400円。特に不便なく普通に練習出来ます。,,福岡県飯塚市のゴルフ練習場。72打席、250ヤードの打ちっぱなし練習場。,,,,,,,,,
サンドラッグ九工大前店,川津,both,サンドラッグ 九工大前店,〒820-0067 福岡県飯塚市川津６８０−５,33.6515262,130.6728321,ドラッグストア,コンビニ・スーパー,0948-26-0250,https://sundrug-online.com/blogs/search-store/2023,https://www.google.com/maps/place/?q=place_id:ChIJ2wl9PNx_QTURAspVzJWV5MM,日用雑貨品は いつも ここで 買ってます ポイントが 早くたまります チラシも見たら 安く買えるのが いいですね 近くに ダイソーと ハローディがあるので 助かります 銀行のATMは いいしんと西日本 / お薬とか此処で良く買います。 割引券を頂きますが中々次が間にあいません💦で使えない事多々🤣,福岡県飯塚市川津に所在するサンドラッグの店舗。九工大前駅近くで、周辺住宅地に便利。登録販売者求人あり（月給21-26万円、賞与年2回、未経験OK）。調剤・ドラッグストア業務。,福岡県飯塚市川津に所在するサンドラッグの店舗。九工大前駅近くで、周辺住宅地に便利。,,,,,,,,,
八女茶の西村園茶舗 ゆめタウン飯塚店,菰田西,both,西村園茶舗,〒820-0017 福岡県飯塚市菰田西３丁目６−１,33.6325403,130.6852944,飲食店,グルメ・飲食,0948-43-3316,https://www.instagram.com/nishimuraenchaho/?hl=ja,https://www.google.com/maps/place/?q=place_id:ChIJo2sdzih_QTURJtzBxBdH9oI,商品に文句はない。 50代？くらいの女性店員さん。おそらく店の責任者っぽい人？ 話す時は敬語を使ってほしいです。 こちらはあなたより年下ですが、私が始終敬語を使ってるのは貴女が見ず知らずの他人だからで / ゆめタウン内にあるお茶屋さん。 ここは八女茶を扱っている。 試飲させてもらったお茶は 色も綺麗で香り高く味わい深く とっても美味しかった。 また グリンティーも味が濃く 美味しかった。 接客もいいので,,商品に文句はない。くらいの女性店員さん。,,,,,,,,,
アルゾ飯塚幸袋店,中,both,アルゾ 飯塚幸袋店,〒820-0065 福岡県飯塚市中２２７−１,33.6665053,130.687537,飲食店,グルメ・飲食,050-3000-4880,https://www.alzo.co.jp/stores/datail-0092,https://www.google.com/maps/place/?q=place_id:ChIJh7sVManVQzURQUZ8qYtG8Tc,最初に驚いたのが、通路の広さっ！ カートが前提なんでしょう、人とすれ違うにしても余裕綽々。 見て回りやすさったら(^o^)/ そのぶん、通路に割かれてるせいか？ 品数等は某トライアルなどには敵わない / 他のディスカウントスーパーと比べて安いものもありますが高いものもありましたマチマチですね,福岡県飯塚市のディスカウントスーパー。エブリデイ・ロープライスで商品提供。営業時間9:00-21:00、不定休（1/1-3休み）。大型ショッピングカート、冷凍食品充実、生鮮加工は外部委託。万惣グループの九州1号店（2018年開店）。駐車場あり、カード対応。,福岡県飯塚市のディスカウントスーパー。営業時間9:00～21:00。不定休（1/1～3は休業）。,,,,,,https://page.line.me/649hivoe,,,
炭バル ダブル,本町,both,炭バル www-double-（ダブル）,〒820-0042 福岡県飯塚市本町７−２８ ザ、ズームビル 1F,33.6404029,130.6848165,飲食店,グルメ・飲食,0948-22-7115,http://www.sumibaru-double.com/,https://www.google.com/maps/place/?q=place_id:ChIJ7zW0ojB-QTURcGlY7iEPf-I,10品のコースを頼みました。9品しかこなかったのでお店の方に聞くと…のらりくらり 急だったからみたいです。料金はきちんと取られてました。メニューの飲み放題コースを頼むと2人ではダメなそうです。 9品の / お茶漬けおすすめ,"福岡県飯塚市の居酒屋。炭焼きを中心とした和食・焼き鳥・鶏料理を提供。新飯塚駅から徒歩14分。月火木～日営業（水定休）。16:00～23:00営業。座席数35席でカウンター席・個室あり。予算1,000～3,000円。禁煙席・カード利用可。","福岡県飯塚市の焼き鳥・鶏料理専門の居酒屋。月火木～日祝日16:00～23:00営業（水曜定休）。禁煙席あり、カード可、コースあり。平均予算1,000～3,000円。",,,,,,,,https://www.hotpepper.jp/strJ000997864/,
内藤園あいタウン店,吉原町,both,（株）内藤園 支店あいタウン店,〒820-0040 福岡県飯塚市吉原町６−１,33.641744,130.686434,飲食店,グルメ・飲食,0948-24-0227,http://www.naito-en.com/,https://www.google.com/maps/place/?q=place_id:ChIJNfItkjp-QTURCAEKIfOqr_s,買い物途中で涼を求め、あいタウン内藤園さんへお邪魔しました。 他に気になるメニューはありましたが、今日は抹茶ソフト＋小豆を注文しました。コーンフレークを入れますか？と聞かれましたので、ほんの少しとお / お茶等が美味しいです。,内藤園あいタウン店は検索結果に直接確認できず。あいタウン（飯塚市吉原町6-1）はスーパーマーケット複合施設で、食品・薬・洋服・100円均一・理髪店など生活用品揃う。中華レストランや唐揚げ屋、観光情報誌あり。駐車場完備、新飯塚駅徒歩10分。,内藤園あいタウン店は検索結果に直接確認できず。あいタウン（飯塚市吉原町6-1）はスーパーマーケット複合施設で、食品・薬・洋服・100円均一・理髪店など生活用品揃う。,,,,,,,,,
ユゲデンキ,飯塚,both,ユゲデンキ（株） サウンズライフユゲ別館,〒820-0041 福岡県飯塚市飯塚１２−１１,33.6370585,130.6857286,電器店,住まい・暮らし,0948-24-6100,,https://www.google.com/maps/place/?q=place_id:ChIJn_8u1zl-QTUR1inERFM_u7g,こじんまりとした店舗で展示商品が少ないと思います。,ユゲデンキ株式会社は福岡県飯塚市飯塚11-21に所在する電気屋・家電量販店。空調部もあり、冷暖房設備工事、住宅設備販売、設備工事業を扱う。電話0948-22-0630、営業時間08:30～21:30。,福岡県飯塚市の電気屋・家電量販店。空調部もあり、冷暖房設備工事・住宅設備販売。住所：飯塚11-21。営業時間：08:30～21:30。TEL:0948-22-0630。,,,,,,,,,
麻生塾ボウル,柏の森,both,麻生塾ボウル,〒820-0011 福岡県飯塚市柏の森６−１ 麻生塾ボウル １階,33.6448336,130.7092223,ボウリング,エンタメ・レジャー,0948-21-0660,http://www.aso-group.co.jp/kaihatu/bowl/,https://www.google.com/maps/place/?q=place_id:ChIJB1jllPjVQzURI4VYQ6b-3_Q,非常に綺麗なボウリング場です！ただエレベーターが無いです！レーン.コンディションもグッド👍️です！！ / 何十年ぶりかで訪問。昔と何も変わってない感じ。楽しめました。個人は1ゲーム650円。,福岡県飯塚市にあるボウリング場。住所は柏の森6-1。電話番号は0948-21-0660。新飯塚駅からアクセス可能。,福岡県飯塚市にあるボウリング場。住所は柏の森6-1。,,,,,,,,,
